time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl
1248,80,49,70.15,-30.314756393432617,100352,-25.50471578836441,208.54244780540466,0.00048252373333333335,0.2,69.1920394897461,0.408154296875,1.0871407985687256,480,0.6587555408477783,-0.08391148190130479,0.058567762
1247,82,50,68.17,-32.73090362548828,102400,-25.54341901540756,222.46365947723388,0.0004821596444444445,0.2,74.9163589477539,0.434033203125,1.089773178100586,490,0.6403396129608154,-0.08738949088728987,0.057754956
1242,84,51,67.62,-33.25929260253906,104448,-25.587445533275606,209.84533667564392,0.0004817955555555556,0.2,75.05900573730469,0.410107421875,1.093895673751831,500,0.6727029085159302,-0.08388243565568701,0.060005896
1243,85,52,67.75,-32.85782241821289,106496,-25.614314329624175,247.76750297546386,0.00048143146666666673,0.2,103.15428161621094,0.395654296875,1.092974066734314,510,0.6072923541069031,-0.08467520076374058,0.050126575
1244,87,53,67.49,-32.7728385925293,108544,-25.61469347476959,219.9897500038147,0.00048106737777777776,0.2,82.54177856445312,0.387841796875,1.0940369367599487,520,0.6437647342681885,-0.08356256312690676,0.052320626
1245,88,54,65.6,-35.42741775512695,110592,-25.639953219890593,166.7236261844635,0.0004807032888888889,0.2,55.307579040527344,0.452294921875,1.0961352586746216,530,0.733269214630127,-0.08886176648084074,0.07691948
1246,90,55,64.66,-36.8183479309082,112640,-25.686061084270477,193.10288586616517,0.0004803392,0.2,76.76924896240234,0.449169921875,1.1001348495483398,540,0.679156482219696,-0.0831151794467587,0.070083186
1247,91,56,64.91,-36.811431884765625,114688,-25.746673429012297,163.38467149734498,0.00047997511111111114,0.2,70.88853454589844,0.467724609375,1.1036213636398315,550,0.728437066078186,-0.08966005742549896,0.07223674
1248,93,57,65.97,-35.44951629638672,116736,-25.79942570924759,178.49393048286439,0.00047961102222222223,0.2,76.71935272216797,0.441015625,1.1070210933685303,560,0.6994459629058838,-0.0880836930591613,0.06302264
1249,95,58,63.78,-38.61965560913086,118784,-25.84423785209656,172.8362060546875,0.0004792469333333333,0.2,72.75812530517578,0.46162109375,1.1100715398788452,570,0.7266982793807983,-0.08879405100597068,0.064742416
